gen	arc	test_reward
17	0-3-k3|0-3-k3|5-18-k5|10-25-k5|10-20-k3|10-22-k5|12-19-k5	0.7581525547360787
17	0-3-k3|0-3-k3|5-16-k7|3-12-k1|19-25-k5|17-30-k7|8-14-k1	0.7955136573235275
17	0-3-k3|0-3-k3|4-17-k5|13-26-k3|19-25-k1|18-28-k5|2-13-k1	0.7811521622661418
17	0-3-k3|0-3-k3|4-11-k1|8-23-k3|19-30-k3|11-23-k7|13-19-k5	0.7940225283650286
17	0-3-k3|0-3-k3|5-12-k1|11-26-k5|13-22-k5|14-20-k7|5-16-k5	0.7676345937223461
17	0-3-k3|0-3-k3|15-28-k3|10-19-k5|12-19-k1|18-27-k5|8-15-k1	0.7060480938711922
17	0-3-k3|0-3-k3|10-19-k3|7-18-k3|18-27-k5|10-16-k5|12-18-k1	0.7065068146408703
17	0-3-k3|0-3-k3|5-16-k1|3-13-k3|20-31-k3|15-21-k5|15-25-k1	0.7889077578414261
17	0-3-k3|0-3-k3|5-18-k3|13-27-k1|20-26-k5|11-19-k3|2-12-k1	0.7686613035119081
18	0-3-k3|0-3-k3|5-12-k5|13-22-k5|12-22-k5|18-26-k1|15-24-k1	0.6790655902652825
18	0-3-k3|0-3-k3|4-19-k5|7-12-k3|18-28-k3|11-23-k5|6-13-k1	0.7655654605942064
18	0-3-k3|0-3-k3|5-14-k1|5-13-k1|19-27-k1|16-25-k5|8-18-k5	0.7747669435133205
18	0-3-k3|0-3-k3|4-19-k5|4-19-k3|16-31-k5|15-28-k5|12-16-k5	0.794645525082245
18	0-3-k3|0-3-k3|5-20-k7|6-15-k3|19-28-k5|18-26-k7|17-20-k1	0.7708281269345796
18	0-3-k3|0-3-k3|4-19-k1|11-18-k3|19-28-k5|15-24-k7|12-14-k1	0.7739201190719881
18	0-3-k3|0-3-k3|7-13-k5|11-26-k3|19-33-k5|15-30-k5|14-19-k1	0.7057456426968518
18	0-3-k3|0-3-k3|4-11-k5|3-13-k3|20-29-k3|18-24-k5|16-21-k1	0.6838690470835348
18	0-3-k3|0-3-k3|3-18-k3|11-19-k3|17-28-k1|16-27-k5|0-5-k1	0.8069062275212772
18	0-3-k3|0-3-k3|4-15-k7|4-13-k5|13-19-k3|11-25-k7|6-15-k5	0.7912870765299579
19	0-3-k3|0-3-k3|7-14-k5|10-21-k3|20-30-k1|11-25-k5|12-16-k1	0.7208302174029266
19	0-3-k3|0-3-k3|4-10-k7|10-19-k5|19-33-k1|11-21-k5|3-13-k3	0.7812782440266913
19	0-3-k3|0-3-k3|5-13-k3|3-14-k5|10-15-k5|15-23-k7|0-8-k3	0.8057933311813044
19	0-3-k3|0-3-k3|5-12-k5|9-20-k3|17-23-k5|15-28-k5|8-14-k1	0.7772679553750713
19	0-3-k3|0-3-k3|10-24-k5|11-17-k3|19-28-k5|18-29-k7|4-8-k7	0.7211148033671027
19	0-3-k3|0-3-k3|5-12-k3|6-13-k5|10-24-k5|15-28-k1|2-6-k1	0.6342936781351214
19	0-3-k3|0-3-k3|4-17-k5|7-14-k1|17-24-k5|20-25-k1|3-11-k1	0.8235701210877816
19	0-3-k3|0-3-k3|5-16-k5|7-16-k1|19-34-k1|14-28-k7|4-16-k5	0.7771041537805025
19	0-3-k3|0-3-k3|10-25-k1|9-18-k3|18-25-k1|11-21-k1|6-11-k3	0.6672919286793205
19	0-3-k3|0-3-k3|4-12-k5|7-15-k1|20-31-k5|12-27-k7|17-20-k1	0.7519994951042018
20	0-3-k3|0-3-k3|4-9-k7|7-22-k5|10-24-k3|20-32-k3|11-19-k1	0.7109992614500831
20	0-3-k3|0-3-k3|4-16-k3|11-25-k1|20-30-k5|16-30-k5|4-14-k1	0.775408697726356
20	0-3-k3|0-3-k3|4-16-k5|6-15-k5|20-26-k3|18-31-k1|12-24-k1	0.748293711701404
20	0-3-k3|0-3-k3|5-13-k5|8-19-k1|20-28-k5|11-20-k7|8-18-k1	0.769968346774783
